Nama Siswa,Kelas,Tahun Ajaran,Jumlah Kehadiran,Kategori Kehadiran,Nilai Rata-rata,Kategori Nilai,Jumlah Pelanggaran,Kategori Pelanggaran,Pekerjaan Orang Tua,Penghasilan Orang Tua,Status SPP,Status Orang Tua,Risiko Drop-Out
Winda Adriansyah,8C,2023/2024,207,Baik,95.8,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Vega Mulyani,7B,2024/2025,209,Baik,73.3,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Teddy Haryanto,8A,2024/2025,197,Kurang,96.5,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Luwar Hidayanto,8C,2023/2024,207,Baik,86.3,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Bagas Mulyani,8A,2024/2025,215,Baik,71.5,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Prayogo Puspasari,8A,2024/2025,229,Sangat Baik,72.0,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Balidin Sihombing,9A,2024/2025,222,Sangat Baik,75.4,Sedang,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Karsa Waskita,7B,2024/2025,197,Kurang,70.4,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Yatim,Tinggi
Kamila Jailani,9B,2024/2025,214,Baik,94.7,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Vanesa Wibisono,9C,2025/2026,210,Baik,80.5,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Diah Pradipta,9A,2024/2025,220,Sangat Baik,94.5,Tinggi,2,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Saiful Najmudin,8C,2025/2026,200,Baik,73.0,Rendah,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Tira Yolanda,8C,2025/2026,201,Baik,89.7,Tinggi,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Malik Pudjiastuti,7C,2024/2025,235,Sangat Baik,68.4,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Bakidin Nurdiyanti,8B,2025/2026,181,Kurang,83.4,Sedang,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Hana Manullang,8A,2024/2025,203,Baik,77.2,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Daru Utama,9B,2023/2024,216,Baik,72.0,Rendah,1,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Banara Prayoga,9A,2025/2026,224,Sangat Baik,96.3,Tinggi,2,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Ghaliyati Prayoga,7B,2025/2026,193,Kurang,88.1,Tinggi,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Lancar,Lengkap,Sedang
Olivia Usada,7B,2023/2024,211,Baik,86.7,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Puput Namaga,9C,2025/2026,202,Baik,87.3,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Gantar Rahimah,8C,2024/2025,212,Baik,97.4,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Puti Icha Pertiwi,7C,2024/2025,193,Kurang,92.8,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Sedang
Wirda Samosir,9C,2023/2024,228,Sangat Baik,83.5,Sedang,2,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Salman Pertiwi,8B,2025/2026,240,Sangat Baik,94.5,Tinggi,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Digdaya Usamah,9B,2023/2024,185,Kurang,80.7,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Hasim Ramadan,8B,2025/2026,240,Sangat Baik,97.2,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Surya Waskita,7C,2023/2024,193,Kurang,71.9,Rendah,2,Ringan,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Prasetya Wijayanti,9B,2023/2024,234,Sangat Baik,67.3,Rendah,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Pia Kusmawati,8C,2024/2025,217,Baik,70.4,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Puji Wastuti,8C,2025/2026,207,Baik,79.9,Sedang,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Laila Yolanda,9A,2024/2025,202,Baik,88.4,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Wardi Puspasari,9C,2024/2025,221,Sangat Baik,81.9,Sedang,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sari Riyanti,8A,2025/2026,236,Sangat Baik,89.3,Tinggi,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Endah Uwais,8A,2025/2026,234,Sangat Baik,65.5,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Prabawa Andriani,9C,2024/2025,193,Kurang,70.6,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Yatim,Tinggi
Qori Puspasari,8C,2025/2026,240,Sangat Baik,76.0,Sedang,1,Ringan,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Budi Kuswandari,9A,2024/2025,211,Baik,97.3,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Rendah
Dariati Samosir,8C,2023/2024,226,Sangat Baik,69.2,Rendah,1,Ringan,PNS/TNI/Polri,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Caket Nashiruddin,9C,2025/2026,229,Sangat Baik,74.5,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Putri Mansur,9A,2023/2024,208,Baik,96.0,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Gabriella Natsir,8A,2023/2024,199,Kurang,92.1,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Irma Setiawan,9B,2024/2025,207,Baik,65.3,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Samsul Saragih,8C,2025/2026,233,Sangat Baik,86.1,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Capa Halimah,8B,2025/2026,225,Sangat Baik,87.2,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mila Napitupulu,9A,2025/2026,204,Baik,71.4,Rendah,2,Ringan,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Wirda Irawan,9B,2025/2026,235,Sangat Baik,86.5,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rendy Prastuti,8A,2025/2026,212,Baik,68.4,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Daru Susanti,8A,2024/2025,222,Sangat Baik,70.7,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Adinata Hassanah,7A,2025/2026,231,Sangat Baik,76.9,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Dewi Maryadi,7C,2024/2025,234,Sangat Baik,98.3,Tinggi,2,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Wulan Mandasari,8A,2023/2024,217,Baik,95.2,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Rahayu Suryatmi,7A,2024/2025,185,Kurang,70.4,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Yatim,Tinggi
Puti Tiara Setiawan,9C,2024/2025,211,Baik,76.0,Sedang,1,Ringan,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Samiah Prasasta,9A,2024/2025,234,Sangat Baik,86.2,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Piatu,Rendah
Mahfud Haryanto,9B,2023/2024,239,Sangat Baik,91.9,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Limar Habibi,7A,2023/2024,238,Sangat Baik,71.5,Rendah,2,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Gamani Sihombing,7A,2023/2024,237,Sangat Baik,74.0,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Titi Lestari,7B,2025/2026,212,Baik,68.7,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Ibun Situmorang,9B,2025/2026,224,Sangat Baik,74.3,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Zizi Kusmawati,8B,2025/2026,216,Baik,85.1,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sakura Saefullah,7A,2023/2024,186,Kurang,95.2,Tinggi,10,Sedang/Berat,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Baktianto Nuraini,8B,2024/2025,192,Kurang,90.7,Tinggi,5,Sedang/Berat,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Makuta Tarihoran,8B,2025/2026,183,Kurang,78.3,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Kenari Wacana,7C,2024/2025,198,Kurang,87.3,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Rika Hutasoit,8A,2025/2026,223,Sangat Baik,85.2,Tinggi,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Lancar,Yatim,Rendah
Karman Fujiati,7A,2023/2024,237,Sangat Baik,72.7,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Gilang Waluyo,8C,2024/2025,212,Baik,98.2,Tinggi,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Lancar,Lengkap,Rendah
Lili Budiyanto,9A,2023/2024,240,Sangat Baik,80.2,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Mursinin Putra,9A,2025/2026,226,Sangat Baik,82.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Wadi Kuswoyo,7B,2023/2024,240,Sangat Baik,67.0,Rendah,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Zulfa Rahimah,7C,2025/2026,192,Kurang,66.2,Rendah,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Rafid Januar,9B,2023/2024,195,Kurang,65.1,Rendah,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Yatim Piatu,Tinggi
Intan Wibowo,8A,2024/2025,203,Baik,92.4,Tinggi,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Ajiono Pranowo,9B,2024/2025,190,Kurang,69.8,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Kalim Kusmawati,7B,2023/2024,223,Sangat Baik,96.7,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Ellis Mandala,8B,2023/2024,213,Baik,65.6,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Prayoga Wibowo,9B,2025/2026,233,Sangat Baik,88.9,Tinggi,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Pia Nuraini,7B,2025/2026,211,Baik,75.8,Sedang,2,Ringan,Tidak Bekerja,> Rp 5.000.000,Lancar,Yatim Piatu,Sedang
Mustika Samosir,7C,2025/2026,202,Baik,65.2,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Kala Mardhiyah,8A,2023/2024,185,Kurang,82.8,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Ajiman Ramadan,7A,2024/2025,202,Baik,79.8,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Piatu,Sedang
Ellis Yuliarti,9C,2023/2024,210,Baik,66.2,Rendah,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Ella Mangunsong,8A,2024/2025,192,Kurang,80.6,Sedang,3,Sedang/Berat,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Dewi Anggriawan,8B,2023/2024,221,Sangat Baik,93.0,Tinggi,3,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Sutan Kayun Rahimah,7A,2023/2024,238,Sangat Baik,91.6,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Jagaraga Natsir,8A,2025/2026,207,Baik,70.3,Rendah,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Lukman Sinaga,9C,2025/2026,197,Kurang,76.0,Sedang,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Lidya Pranowo,9C,2024/2025,191,Kurang,72.4,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Sutan Tugiman Haryanto,8B,2024/2025,195,Kurang,81.0,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak >2 Bulan,Yatim,Sedang
Raditya Aryani,7C,2025/2026,205,Baik,80.9,Sedang,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rika Iswahyudi,9A,2024/2025,196,Kurang,66.5,Rendah,0,Tidak Ada,PNS/TNI/Polri,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Ayu Mulyani,9C,2023/2024,206,Baik,68.9,Rendah,3,Sedang/Berat,Tidak Bekerja,< Rp 2.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Mursita Permadi,9C,2023/2024,223,Sangat Baik,77.4,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Prayoga Mulyani,9C,2023/2024,193,Kurang,94.9,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Wulan Pranowo,7C,2025/2026,183,Kurang,85.4,Tinggi,1,Ringan,Wiraswasta,> Rp 5.000.000,Lancar,Lengkap,Sedang
Satya Oktaviani,7B,2023/2024,231,Sangat Baik,78.8,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Bakidin Sirait,9C,2024/2025,212,Baik,95.9,Tinggi,0,Tidak Ada,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Silvia Agustina,7B,2025/2026,210,Baik,72.0,Rendah,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Dina Mansur,8C,2025/2026,217,Baik,91.4,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Suci Pertiwi,9C,2023/2024,200,Baik,93.1,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Juli Hassanah,8A,2023/2024,234,Sangat Baik,72.2,Rendah,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Aisyah Prayoga,7C,2025/2026,220,Sangat Baik,82.8,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Rendah
Gandewa Dongoran,8A,2024/2025,232,Sangat Baik,67.9,Rendah,2,Ringan,Karyawan Swasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Nyana Adriansyah,9A,2024/2025,219,Baik,85.6,Tinggi,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Eli Astuti,7B,2025/2026,216,Baik,75.0,Sedang,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Gina Agustina,9C,2023/2024,221,Sangat Baik,95.4,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Jaeman Situmorang,7B,2024/2025,186,Kurang,70.6,Rendah,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Piatu,Tinggi
Keisha Namaga,9B,2025/2026,180,Kurang,87.9,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Sedang
Yuliana Zulaika,7C,2025/2026,197,Kurang,83.1,Sedang,0,Tidak Ada,Tidak Bekerja,> Rp 5.000.000,Lancar,Lengkap,Sedang
Bahuraksa Purnawati,9C,2024/2025,182,Kurang,81.2,Sedang,0,Tidak Ada,Tidak Bekerja,< Rp 2.000.000,Lancar,Lengkap,Sedang
Tami Adriansyah,8C,2023/2024,198,Kurang,95.1,Tinggi,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Hana Yuliarti,9B,2024/2025,223,Sangat Baik,71.0,Rendah,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Tari Maryati,7C,2025/2026,208,Baik,96.8,Tinggi,3,Sedang/Berat,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Sedang
Zelaya Permadi,9A,2023/2024,200,Baik,89.0,Tinggi,3,Sedang/Berat,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Dalima Nurdiyanti,9C,2024/2025,232,Sangat Baik,95.6,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Rina Habibi,9C,2024/2025,192,Kurang,81.1,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Laswi Wijaya,7B,2024/2025,191,Kurang,90.6,Tinggi,1,Ringan,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Sedang
Unggul Waluyo,7C,2023/2024,229,Sangat Baik,75.9,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Ivan Wahyudin,7A,2023/2024,220,Sangat Baik,67.3,Rendah,3,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Yahya Sudiati,8A,2023/2024,216,Baik,92.1,Tinggi,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Hamima Rahayu,8A,2024/2025,240,Sangat Baik,80.7,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Tina Pertiwi,8A,2025/2026,229,Sangat Baik,66.1,Rendah,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Tedi Pudjiastuti,9B,2023/2024,201,Baik,85.4,Tinggi,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Artanto Namaga,8C,2023/2024,199,Kurang,76.4,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Maria Thamrin,7B,2024/2025,214,Baik,69.8,Rendah,0,Tidak Ada,Wiraswasta,> Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Hasna Pertiwi,9A,2023/2024,226,Sangat Baik,94.6,Tinggi,0,Tidak Ada,Buruh/Petani,> Rp 5.000.000,Lancar,Lengkap,Rendah
Sidiq Ardianto,8C,2024/2025,230,Sangat Baik,75.5,Sedang,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Amalia Sihombing,7C,2024/2025,195,Kurang,68.5,Rendah,1,Ringan,Buruh/Petani,< Rp 2.000.000,Menunggak >2 Bulan,Piatu,Tinggi
Paulin Hardiansyah,8B,2024/2025,229,Sangat Baik,89.7,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Joko Hartati,9C,2024/2025,217,Baik,91.5,Tinggi,0,Tidak Ada,Karyawan Swasta,> Rp 5.000.000,Lancar,Lengkap,Rendah
Nurul Halim,8A,2025/2026,208,Baik,81.6,Sedang,3,Sedang/Berat,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Puti Alika Rajasa,8B,2023/2024,218,Baik,76.7,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Puti Natalia Mustofa,9B,2023/2024,194,Kurang,69.5,Rendah,2,Ringan,Tidak Bekerja,< Rp 2.000.000,Lancar,Lengkap,Tinggi
Ratih Yuniar,8C,2025/2026,215,Baik,77.7,Sedang,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Lintang Nurdiyanti,7B,2025/2026,206,Baik,76.4,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Bala Suryatmi,9B,2023/2024,238,Sangat Baik,79.9,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Rendah
Zahra Hardiansyah,9A,2024/2025,208,Baik,65.9,Rendah,0,Tidak Ada,Buruh/Petani,< Rp 2.000.000,Lancar,Lengkap,Sedang
Puti Padma Anggraini,9A,2023/2024,198,Kurang,74.2,Rendah,0,Tidak Ada,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Menunggak >2 Bulan,Lengkap,Tinggi
Kamaria Handayani,8B,2023/2024,231,Sangat Baik,71.9,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Rahayu Irawan,9A,2024/2025,183,Kurang,69.7,Rendah,1,Ringan,Wiraswasta,< Rp 2.000.000,Menunggak >2 Bulan,Yatim Piatu,Tinggi
Pia Kusmawati,8A,2023/2024,210,Baik,72.6,Rendah,1,Ringan,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Okta Rahimah,9C,2024/2025,223,Sangat Baik,65.0,Rendah,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Sedang
Adiarja Prasasta,9C,2025/2026,223,Sangat Baik,65.2,Rendah,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Karma Pratiwi,9B,2025/2026,212,Baik,80.9,Sedang,0,Tidak Ada,Wiraswasta,< Rp 2.000.000,Lancar,Lengkap,Rendah
Estiono Saefullah,7B,2025/2026,191,Kurang,90.7,Tinggi,1,Ringan,Karyawan Swasta,< Rp 2.000.000,Lancar,Lengkap,Sedang
Alambana Pranowo,7B,2024/2025,206,Baik,89.4,Tinggi,0,Tidak Ada,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
Dadap Utama,9A,2024/2025,237,Sangat Baik,66.2,Rendah,0,Tidak Ada,Buruh/Petani,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Lidya Lestari,9C,2024/2025,188,Kurang,96.3,Tinggi,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Sedang
Zelaya Widodo,9B,2023/2024,194,Kurang,81.0,Sedang,1,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Sedang
Safina Anggraini,8C,2024/2025,220,Sangat Baik,79.6,Sedang,0,Tidak Ada,PNS/TNI/Polri,> Rp 5.000.000,Lancar,Lengkap,Rendah
Gaiman Halimah,7A,2023/2024,182,Kurang,76.4,Sedang,2,Ringan,Wiraswasta,Rp 2.000.000 - Rp 5.000.000,Menunggak 1-2 Bulan,Lengkap,Tinggi
Martaka Waluyo,9C,2023/2024,239,Sangat Baik,78.8,Sedang,0,Tidak Ada,Karyawan Swasta,Rp 2.000.000 - Rp 5.000.000,Lancar,Yatim,Rendah
Yuliana Simbolon,7B,2025/2026,203,Baik,80.0,Sedang,1,Ringan,PNS/TNI/Polri,Rp 2.000.000 - Rp 5.000.000,Lancar,Lengkap,Rendah
